Accuracy,Sensitivity,Specificity,Classifier
0.8454810495626822,0.8463981266000232,0.9737689100608548,Random Forest
0.8454810495626822,0.852096883908079,0.9740191100502538,Random Forest
0.8483965014577259,0.8535843227932701,0.9742729282302298,Random Forest
0.8396501457725948,0.8367660693027827,0.9729254907464036,Random Forest
0.880466472303207,0.8830967242122542,0.9796664518184314,Random Forest
0.8571428571428571,0.8605878707537206,0.975705106234796,Gradient Boosting
0.8163265306122449,0.8171109400810102,0.9686537899978248,Gradient Boosting
0.8338192419825073,0.8303090177975267,0.9718569278524435,Gradient Boosting
0.8046647230320699,0.8037347731135919,0.9668360989701,Gradient Boosting
0.8571428571428571,0.8596396195246657,0.9756992470632178,Gradient Boosting
0.6618075801749271,0.6682172037315456,0.9434912302717129,Logistic Regression
0.6647230320699709,0.6855984357872659,0.9437430516981598,Logistic Regression
0.7230320699708455,0.7345675857733924,0.9534226346258571,Logistic Regression
0.6763848396501457,0.6861489122047614,0.9457876790942634,Logistic Regression
0.6909620991253644,0.7057885092204701,0.9482260957409776,Logistic Regression
0.8134110787172012,0.8111220654630186,0.9682522578982059,SVM (RBF Kernel)
0.7871720116618076,0.7923683727445583,0.9641390063315072,SVM (RBF Kernel)
0.8192419825072886,0.8169096099177828,0.9693359764686479,SVM (RBF Kernel)
0.8221574344023324,0.8270868679324829,0.9700118500736894,SVM (RBF Kernel)
0.8775510204081632,0.8762551416881529,0.9790640015434925,SVM (RBF Kernel)
0.7784256559766763,0.7903477107586931,0.9628944812333973,RDA (QDA+reg)
0.7113702623906706,0.7203192796634127,0.9515271375717385,RDA (QDA+reg)
0.7696793002915452,0.7780134380368526,0.9611366730845171,RDA (QDA+reg)
0.7667638483965015,0.7723048754184153,0.96098970309835,RDA (QDA+reg)
0.760932944606414,0.7649669284972825,0.9597860958531071,RDA (QDA+reg)
0.6938775510204082,0.6873437250530843,0.9487910082802068,k-NN
0.7317784256559767,0.7183657409935639,0.9547169997565171,k-NN
0.7259475218658892,0.7222836534050971,0.9533727628187479,k-NN
0.7201166180758017,0.7144185966668886,0.9531725044272152,k-NN
0.760932944606414,0.758891348129611,0.9595358672465055,k-NN
