,0,1,2,3,4
Random Forest,"{'max_depth': 8, 'n_estimators': 171}","{'max_depth': 9, 'n_estimators': 180}","{'max_depth': 9, 'n_estimators': 180}","{'max_depth': 9, 'n_estimators': 180}","{'max_depth': 8, 'n_estimators': 171}"
Gradient Boosting,"{'learning_rate': np.float64(0.19524445288831496), 'max_depth': 4, 'n_estimators': 71}","{'learning_rate': np.float64(0.05286004537658223), 'max_depth': 5, 'n_estimators': 199}","{'learning_rate': np.float64(0.19524445288831496), 'max_depth': 4, 'n_estimators': 71}","{'learning_rate': np.float64(0.19524445288831496), 'max_depth': 4, 'n_estimators': 71}","{'learning_rate': np.float64(0.16743239807751675), 'max_depth': 4, 'n_estimators': 64}"
Logistic Regression,{'C': np.float64(1.5699452033620265)},{'C': np.float64(9.51714306409916)},{'C': np.float64(0.5908361216819946)},{'C': np.float64(8.671761457749351)},{'C': np.float64(9.51714306409916)}
SVM (RBF Kernel),"{'C': np.float64(4.558327528535911), 'gamma': 'scale'}","{'C': np.float64(4.558327528535911), 'gamma': 'scale'}","{'C': np.float64(6.086584841970366), 'gamma': 'scale'}","{'C': np.float64(3.845401188473625), 'gamma': 'scale'}","{'C': np.float64(3.845401188473625), 'gamma': 'scale'}"
RDA (QDA+reg),{'reg_param': np.float64(0.9507143064099162)},{'reg_param': np.float64(0.9507143064099162)},{'reg_param': np.float64(0.9507143064099162)},{'reg_param': np.float64(0.9507143064099162)},{'reg_param': np.float64(0.9507143064099162)}
k-NN,{'n_neighbors': 9},{'n_neighbors': 7},{'n_neighbors': 6},{'n_neighbors': 13},{'n_neighbors': 10}
