Accuracy,Sensitivity,Specificity,Classifier
0.8658892128279884,0.8569865931004779,0.9766734213684243,Random Forest
0.8425655976676385,0.8293579259040074,0.9728932969142738,Random Forest
0.8600583090379009,0.8517565891744683,0.9759021186461277,Random Forest
0.8396501457725948,0.8320778604316421,0.9724869077234465,Random Forest
0.8688046647230321,0.8628495961788512,0.9774358519349768,Random Forest
0.8775510204081632,0.8718232936274176,0.9787974031040566,Gradient Boosting
0.8250728862973761,0.8224246217391997,0.9700835683268373,Gradient Boosting
0.8250728862973761,0.8194097220532502,0.9701480616287145,Gradient Boosting
0.8396501457725948,0.830591437858936,0.9725272116237297,Gradient Boosting
0.8571428571428571,0.852664549735282,0.9755342679586887,Gradient Boosting
0.7317784256559767,0.7357779976148243,0.954705079268362,Logistic Regression
0.7113702623906706,0.7176342733728983,0.9512783174570082,Logistic Regression
0.7405247813411079,0.7407030485892668,0.9560427140317451,Logistic Regression
0.7725947521865889,0.7749166296167337,0.9615743837983172,Logistic Regression
0.7871720116618076,0.7832067132270055,0.964152176256532,Logistic Regression
0.8571428571428571,0.849320727251843,0.9756582524766717,SVM (RBF Kernel)
0.8075801749271136,0.7992358771477448,0.9674216446285896,SVM (RBF Kernel)
0.8425655976676385,0.8415733833245217,0.9733411883657421,SVM (RBF Kernel)
0.8279883381924198,0.8173513752773837,0.970550783512718,SVM (RBF Kernel)
0.8542274052478134,0.8450676393358586,0.974975799996699,SVM (RBF Kernel)
0.42565597667638483,0.4440946469422514,0.9079800256088382,RDA (QDA+reg)
0.43440233236151604,0.4523881090127603,0.9091845426275101,RDA (QDA+reg)
0.45481049562682213,0.4689336319393732,0.9126010212871521,RDA (QDA+reg)
0.4227405247813411,0.43327244786219005,0.9073616783543262,RDA (QDA+reg)
0.4402332361516035,0.4498427899772529,0.9103456442047048,RDA (QDA+reg)
0.7696793002915452,0.7516185740540288,0.960700839639662,k-NN
0.7055393586005831,0.67855267565884,0.9494147756788277,k-NN
0.749271137026239,0.7333213085068186,0.9570337780778592,k-NN
0.7463556851311953,0.7293014370547538,0.9567006824633626,k-NN
0.760932944606414,0.7393525915223925,0.9588342799047052,k-NN
