Accuracy,Sensitivity,Specificity,Classifier
0.8688046647230321,0.8569194006556341,0.9772352340119728,Random Forest
0.8367346938775511,0.8232497302097148,0.9718520923992529,Random Forest
0.8483965014577259,0.8419025407683665,0.9741277828590612,Random Forest
0.8483965014577259,0.8430293982373999,0.9739817555783146,Random Forest
0.880466472303207,0.876365810872192,0.9793587073778828,Random Forest
0.8746355685131195,0.8690460019202823,0.9783394726133567,Gradient Boosting
0.8483965014577259,0.8370334581136828,0.9738877357071637,Gradient Boosting
0.8338192419825073,0.8260402606965528,0.9715512569421435,Gradient Boosting
0.8279883381924198,0.8154007461976561,0.9704733503465673,Gradient Boosting
0.8658892128279884,0.8643185045484891,0.9768690339968494,Gradient Boosting
0.685131195335277,0.6861329038751224,0.9468993340894956,Logistic Regression
0.673469387755102,0.6863273913070576,0.9451277436432711,Logistic Regression
0.7230320699708455,0.7312057888965028,0.9534164357191683,Logistic Regression
0.7230320699708455,0.7310100431404878,0.9534434907053717,Logistic Regression
0.717201166180758,0.711263636209802,0.9521345058934767,Logistic Regression
0.8309037900874635,0.8252131602822913,0.971126475240394,SVM (RBF Kernel)
0.8367346938775511,0.8366653252074389,0.9721968092750298,SVM (RBF Kernel)
0.8338192419825073,0.8293199298842628,0.9718524847828629,SVM (RBF Kernel)
0.8250728862973761,0.820383331817182,0.9700823937709718,SVM (RBF Kernel)
0.8600583090379009,0.852340240746193,0.9760979108000336,SVM (RBF Kernel)
0.7871720116618076,0.77022043764124,0.9627585031971143,RDA (QDA+reg)
0.7288629737609329,0.7020751022567184,0.9529327923362553,RDA (QDA+reg)
0.7551020408163265,0.7381578228162077,0.9572330292732827,RDA (QDA+reg)
0.7463556851311953,0.7197689749189474,0.9554764325688224,RDA (QDA+reg)
0.7900874635568513,0.7677469030024555,0.9631156325377884,RDA (QDA+reg)
0.7346938775510204,0.7206851124369152,0.9552729956165146,k-NN
0.7201166180758017,0.6985932393751367,0.9523695763656997,k-NN
0.7113702623906706,0.6995259991816908,0.9506792902770161,k-NN
0.7376093294460642,0.7211898406335828,0.9555763121408647,k-NN
0.7638483965014577,0.7531326874883485,0.9597412322992042,k-NN
