,0,1,2,3,4
Random Forest,"{'max_depth': 9, 'n_estimators': 180}","{'max_depth': 7, 'n_estimators': 102}","{'max_depth': 9, 'n_estimators': 180}","{'max_depth': 8, 'n_estimators': 142}","{'max_depth': 9, 'n_estimators': 180}"
Gradient Boosting,"{'learning_rate': np.float64(0.16743239807751675), 'max_depth': 4, 'n_estimators': 64}","{'learning_rate': np.float64(0.16743239807751675), 'max_depth': 4, 'n_estimators': 64}","{'learning_rate': np.float64(0.05286004537658223), 'max_depth': 5, 'n_estimators': 199}","{'learning_rate': np.float64(0.19524445288831496), 'max_depth': 4, 'n_estimators': 71}","{'learning_rate': np.float64(0.19524445288831496), 'max_depth': 4, 'n_estimators': 71}"
Logistic Regression,{'C': np.float64(0.5908361216819946)},{'C': np.float64(9.51714306409916)},{'C': np.float64(0.5908361216819946)},{'C': np.float64(0.5908361216819946)},{'C': np.float64(3.7554011884736247)}
SVM (RBF Kernel),"{'C': np.float64(3.845401188473625), 'gamma': 'scale'}","{'C': np.float64(3.845401188473625), 'gamma': 'scale'}","{'C': np.float64(3.845401188473625), 'gamma': 'scale'}","{'C': np.float64(3.845401188473625), 'gamma': 'scale'}","{'C': np.float64(3.845401188473625), 'gamma': 'scale'}"
RDA (QDA+reg),{'reg_param': np.float64(0.3745401188473625)},{'reg_param': np.float64(0.3745401188473625)},{'reg_param': np.float64(0.3745401188473625)},{'reg_param': np.float64(0.3745401188473625)},{'reg_param': np.float64(0.3745401188473625)}
k-NN,{'n_neighbors': 10},{'n_neighbors': 6},{'n_neighbors': 10},{'n_neighbors': 7},{'n_neighbors': 6}
