Accuracy,Sensitivity,Specificity,Classifier
0.8600583090379009,0.8596184598467901,0.9762439553508129,Random Forest
0.8309037900874635,0.8352283662265056,0.9715948684635495,Random Forest
0.8192419825072886,0.8214705035742852,0.9695596425569112,Random Forest
0.8454810495626822,0.8462123041326491,0.9739222650878749,Random Forest
0.8746355685131195,0.878267664671527,0.9786478768788698,Random Forest
0.8483965014577259,0.8531394775027745,0.9741779444826199,Gradient Boosting
0.8046647230320699,0.811685538833523,0.9668888680388159,Gradient Boosting
0.8425655976676385,0.8475439844472025,0.9734071807184856,Gradient Boosting
0.8075801749271136,0.8114334441249563,0.9675840511397354,Gradient Boosting
0.8571428571428571,0.860434591601547,0.9759115884242925,Gradient Boosting
0.7113702623906706,0.7200452147697097,0.9514816691129482,Logistic Regression
0.7463556851311953,0.7610920672605478,0.9573914135265823,Logistic Regression
0.7667638483965015,0.7706828174945863,0.9607956635307787,Logistic Regression
0.7230320699708455,0.7372429682070706,0.9537291971460692,Logistic Regression
0.7463556851311953,0.7571041148202513,0.9576213829908861,Logistic Regression
0.8425655976676385,0.8398236339251867,0.9733240357460752,SVM (RBF Kernel)
0.8046647230320699,0.8055881358852007,0.9671477749546485,SVM (RBF Kernel)
0.8338192419825073,0.838975762380818,0.9720302685976439,SVM (RBF Kernel)
0.8309037900874635,0.8294420020130732,0.9713789001118942,SVM (RBF Kernel)
0.8396501457725948,0.8350807819484878,0.9727805704348823,SVM (RBF Kernel)
0.4752186588921283,0.4646622231028887,0.9116127521265176,RDA (QDA+reg)
0.4489795918367347,0.440460145436756,0.9077009758723801,RDA (QDA+reg)
0.48104956268221577,0.4691885780870959,0.9130570005506788,RDA (QDA+reg)
0.4868804664723032,0.4908321148635967,0.9143670628148234,RDA (QDA+reg)
0.5014577259475219,0.48967184825416643,0.9159724972798757,RDA (QDA+reg)
0.7638483965014577,0.7597682223813756,0.9603231980159804,k-NN
0.7113702623906706,0.7033905847142509,0.9509956574385192,k-NN
0.749271137026239,0.7438063894125608,0.9574131264934437,k-NN
0.7113702623906706,0.7045778326147117,0.9516842801896909,k-NN
0.7376093294460642,0.7185608352471372,0.9554809482730595,k-NN
