Accuracy,Sensitivity,Specificity,Classifier
0.8658892128279884,0.8569865931004779,0.9766734213684243,Random Forest
0.8425655976676385,0.8293579259040074,0.9728932969142738,Random Forest
0.8600583090379009,0.8517565891744683,0.9759021186461277,Random Forest
0.8396501457725948,0.8320778604316421,0.9724869077234465,Random Forest
0.8688046647230321,0.8628495961788512,0.9774358519349768,Random Forest
0.8688046647230321,0.8640653386131218,0.977403040943748,Gradient Boosting
0.8250728862973761,0.8224246217391997,0.9700835683268373,Gradient Boosting
0.8250728862973761,0.8194097220532502,0.9701480616287145,Gradient Boosting
0.8396501457725948,0.830591437858936,0.9725272116237297,Gradient Boosting
0.8571428571428571,0.852664549735282,0.9755342679586887,Gradient Boosting
0.6880466472303207,0.6898378183351855,0.947277191458177,Logistic Regression
0.673469387755102,0.6886434136980545,0.9450135565706986,Logistic Regression
0.717201166180758,0.7190488847663007,0.9525943490886223,Logistic Regression
0.7055393586005831,0.7165188995052352,0.9507250633326568,Logistic Regression
0.7201166180758017,0.7206462035888749,0.9527953734577143,Logistic Regression
0.8104956268221575,0.8089812889284209,0.9679321015378577,SVM (RBF Kernel)
0.8075801749271136,0.8050913219091402,0.9674867619443324,SVM (RBF Kernel)
0.8221574344023324,0.820375620127833,0.9700312247854007,SVM (RBF Kernel)
0.8163265306122449,0.8142109260284079,0.9687742792046105,SVM (RBF Kernel)
0.8542274052478134,0.8497880076889095,0.9751257701727205,SVM (RBF Kernel)
0.7725947521865889,0.7574580463977815,0.9603624892149332,RDA (QDA+reg)
0.717201166180758,0.690662238678577,0.9508130250976837,RDA (QDA+reg)
0.7405247813411079,0.7258921977849548,0.9545321529527254,RDA (QDA+reg)
0.7317784256559767,0.7068985252467748,0.9530564522358931,RDA (QDA+reg)
0.7842565597667639,0.7664606293958907,0.9620685490541756,RDA (QDA+reg)
0.7434402332361516,0.7304999323998815,0.9566979871922471,k-NN
0.7259475218658892,0.7044727460676993,0.9532676520269993,k-NN
0.7288629737609329,0.7128390586781199,0.9537592208964382,k-NN
0.717201166180758,0.7020189244038431,0.9519513755209899,k-NN
0.7405247813411079,0.7242855195606674,0.9558204350227459,k-NN
