Classifier,Accuracy,Sensitivity,Specificity
Gradient Boosting,0.766,0.766,0.961
Logistic Regression,0.709,0.722,0.951
RDA (QDA+reg),0.831,0.831,0.971
Random Forest,0.794,0.796,0.965
SVM (RBF Kernel),0.825,0.827,0.97
k-NN,0.785,0.784,0.964
