,0,1,2,3,4
Random Forest,"{'max_depth': 9, 'n_estimators': 180}","{'max_depth': 7, 'n_estimators': 102}","{'max_depth': 9, 'n_estimators': 180}","{'max_depth': 8, 'n_estimators': 142}","{'max_depth': 9, 'n_estimators': 180}"
Gradient Boosting,"{'learning_rate': np.float64(0.16743239807751675), 'max_depth': 4, 'n_estimators': 64}","{'learning_rate': np.float64(0.16743239807751675), 'max_depth': 4, 'n_estimators': 64}","{'learning_rate': np.float64(0.05286004537658223), 'max_depth': 5, 'n_estimators': 199}","{'learning_rate': np.float64(0.19524445288831496), 'max_depth': 4, 'n_estimators': 71}","{'learning_rate': np.float64(0.19524445288831496), 'max_depth': 4, 'n_estimators': 71}"
Logistic Regression,{'C': np.float64(0.5908361216819946)},{'C': np.float64(0.5908361216819946)},{'C': np.float64(0.5908361216819946)},{'C': np.float64(0.5908361216819946)},{'C': np.float64(0.5908361216819946)}
SVM (RBF Kernel),"{'C': np.float64(3.4370861113902182), 'gamma': 'auto'}","{'C': np.float64(1.934347898661638), 'gamma': 'auto'}","{'C': np.float64(1.934347898661638), 'gamma': 'auto'}","{'C': np.float64(1.934347898661638), 'gamma': 'auto'}","{'C': np.float64(1.934347898661638), 'gamma': 'auto'}"
RDA (QDA+reg),{'reg_param': np.float64(0.3745401188473625)},{'reg_param': np.float64(0.5986584841970366)},{'reg_param': np.float64(0.5986584841970366)},{'reg_param': np.float64(0.3745401188473625)},{'reg_param': np.float64(0.3745401188473625)}
k-NN,{'n_neighbors': 13},{'n_neighbors': 12},{'n_neighbors': 13},{'n_neighbors': 12},{'n_neighbors': 10}
